order_id,products
2752098,None
2963768,None
1791476,25991 
1347073,None
2757868,25991 
172582,None
3154325,None
2438993,25991 
432090,None
823549,25991 
1870697,None
607999,None
2290736,None
3284528,None
1641104,None
162608,None
638043,None
126311,None
2345466,None
2895219,None
265718,None
2884169,None
1051965,None
3089033,None
1875427,None
2597889,None
1424621,None
2383645,None
1797887,None
3304551,None
620528,None
446599,None
2586170,None
3270763,None
2379695,None
193043,None
2292915,None
3055272,None
129728,None
1199277,None
3507,None
2683201,None
157021,None
2698663,None
1086386,None
2947445,None
83862,None
1510593,None
138320,None
2847433,None
2241481,None
2434881,None
2123504,None
1377260,None
2718902,None
1347354,None
2674726,None
3315654,None
737036,None
2025758,None
3396882,None
756968,None
490719,None
805599,None
1224528,None
2494299,None
2344456,None
3169147,None
2705722,None
1189181,None
3038891,None
3126939,None
2220290,None
1592302,None
1740978,None
1443255,None
1830815,None
2282481,None
2558743,None
419562,None
156108,None
3351087,None
2372487,None
90318,None
2457678,None
2517907,None
564965,None
2379048,None
3288057,None
2263507,None
1494602,None
709954,None
1279489,None
2042970,None
37863,None
1154999,None
332767,None
384574,None
3148642,None
726869,None
74323,None
2613425,None
92588,None
1906511,None
1304775,None
3011212,None
2618931,None
2635748,None
609428,None
39702,None
2025696,None
1587226,None
2240169,None
172445,None
1330394,None
2662875,None
462500,None
638483,None
1247859,None
3085448,None
516036,None
1726402,None
1525632,None
305128,None
92284,None
1917254,None
2330133,None
1388531,None
3254339,None
1793740,None
2397982,None
1999760,None
1009038,None
1677280,None
820575,None
2986891,None
40070,None
2647394,None
2445812,None
2163132,None
1250291,None
1663624,None
589216,None
1682596,None
1882983,None
970776,None
2967003,None
1504511,None
1997236,None
2624140,None
1437536,None
1889178,None
2469038,None
1374356,None
848814,None
346253,None
3111987,13429 14406 25991 38393 38992 42650 
232910,None
1073441,None
1289279,None
2439403,None
2992847,13429 25991 38393 38992 42650 
132835,None
976556,13429 38393 38992 42650 
3338819,None
2098395,None
2538630,38393 38992 42650 
2555336,None
1861256,None
3292027,None
185512,None
128582,None
1723205,None
2450644,None
1947671,None
182538,None
1057666,38393 38992 
3290658,None
1877738,None
2470792,38992 
244242,None
180793,None
3344438,38992 
3329097,None
1279051,38992 
2845058,None
2879480,None
3356631,None
1493308,None
2246414,None
1490271,38992 
2643840,38992 
360222,None
422227,None
2293885,None
3226988,None
1625184,38992 
1400440,None
400885,38992 
2664755,38992 
1470781,None
201696,None
1060456,None
1556153,None
509680,None
2563241,None
2623566,13429 14406 25991 38393 38992 42650 
2039022,None
3073455,13429 14406 25991 38393 38992 42650 
693260,None
476122,13429 25991 38393 38992 42650 
181324,None
2529325,None
1751889,None
274836,13429 25991 38393 38992 42650 
1396198,None
973823,None
522728,None
49225,None
3151359,None
614015,None
116153,13429 25991 38393 38992 42650 
846012,None
815216,38393 38992 42650 
1528667,38393 38992 42650 
3383156,None
2881994,38393 38992 42650 
1392304,None
199736,None
2337297,38393 38992 42650 
994974,38393 38992 42650 
3339130,None
805101,38393 38992 42650 
3185399,38393 38992 
3355500,38393 38992 
1410649,38393 38992 
1978347,None
3368424,None
2127163,None
857975,38393 38992 
2204834,38393 38992 
859820,None
2048971,None
835908,None
2359156,None
2113780,None
2155236,None
939687,None
1220263,None
2750816,38992 
943400,None
3050568,None
1520025,None
245000,None
1563281,None
679123,None
108878,None
800818,None
1542893,None
1949441,None
707658,None
1261189,None
2853920,None
2008659,None
3040666,None
2166690,None
2458385,None
3037957,None
2223182,None
1793741,None
1090317,None
323222,None
2047726,None
778463,None
2721118,None
1924030,None
2465610,None
1204236,None
2378270,None
2523891,None
2712610,None
364173,None
2490509,None
997289,None
2818020,None
337462,None
335741,None
2305536,None
2476931,None
1643346,None
822719,None
1379410,None
1390119,None
1978303,None
252856,None
3125144,None
1548666,None
3166701,None
1546056,None
3392133,None
1635679,None
1405209,None
1280035,None
3307655,None
1033828,None
1682285,None
1611131,None
1926463,None
2979553,None
1335993,None
2685573,None
546821,None
2755738,None
121615,None
70472,None
445459,None
1166664,None
1628580,None
16287,None
236157,None
1701953,None
1236808,None
900324,None
1620602,None
3256292,None
2351636,None
1037079,None
2351367,None
2528933,None
2422022,None
1734437,None
705978,None
596268,None
1056522,None
1013886,None
433879,None
3077308,None
249577,None
2240146,None
1523683,None
1518319,None
3327739,None
1559550,None
1691763,None
3277462,None
1690091,None
2680344,None
1773559,None
2696523,None
2796477,None
1972444,None
1575652,25991 
1669668,None
1471332,None
1564485,25991 
3226343,None
2153134,None
2311530,None
1938913,None
1991047,25991 
2093960,None
511530,None
2219900,None
2715259,None
1645990,None
1795155,None
1998677,25991 
3383153,None
339842,None
154377,None
2334720,None
2263289,None
3161231,None
2642009,None
1671334,None
1935873,None
2651261,None
1603187,None
674032,None
3057689,None
2415958,None
2415280,None
2711504,None
1705394,None
1130330,None
3293756,None
2253582,None
602811,None
2772462,None
2492402,None
1522671,None
2932425,None
3156612,None
706536,None
2205151,None
2637201,None
3094208,None
586291,None
2123941,None
2990582,None
3159729,25991 
2716961,25991 
2344277,25991 
625387,None
3292340,25991 
2970501,None
1277507,None
1983172,None
744522,None
650207,None
1881680,None
1908788,None
101638,25991 
647301,None
2127663,None
773881,25991 
1465195,None
347711,25991 
2523657,None
1588133,None
1622367,None
1548814,None
408231,None
2012708,None
638959,None
2402190,None
555372,None
1250853,None
2981689,None
2735579,None
3145741,None
3057685,None
2786673,None
1424673,None
1462771,None
973615,None
687328,None
553104,None
263963,None
152838,None
3276838,None
995140,None
227409,None
1701179,None
25095,None
1521606,None
1008054,None
725444,None
1955211,None
422501,None
1890970,None
3412461,13429 25991 38393 38992 42650 
146424,None
1759974,None
2123572,None
800181,None
2523084,13429 25991 38393 38992 42650 
151321,None
1905281,None
3001975,None
3237413,None
2364383,None
2320694,38393 38992 42650 
570788,None
2725217,38393 38992 42650 
2646517,None
1143469,38393 38992 42650 
1561456,None
180825,None
3284457,None
468591,None
1392177,None
1548798,None
2372654,None
2228087,None
3247614,None
2939785,38393 38992 
3234366,38393 38992 
2528064,None
353396,None
591379,38393 38992 
3017301,None
1533781,None
402423,None
439018,None
3312348,38393 38992 
6275,None
1783940,None
798541,None
2974267,None
97226,38992 
3052926,None
2866002,38992 
1652815,None
2030020,None
969030,38992 
2558329,38992 
2566553,None
2823406,None
2483106,None
2989284,25991 38393 38992 42650 
107669,None
2706064,None
1533326,38393 38992 42650 
3313794,None
293092,None
669894,38393 38992 42650 
1932889,None
1667640,None
185678,None
1690900,None
989286,38393 38992 42650 
2314890,None
1994358,None
2186053,None
1893632,38393 38992 42650 
881651,None
3408626,None
1748836,None
1611234,None
256935,None
1009441,None
332345,None
1867020,None
63768,None
2884132,None
3064175,None
2525087,None
869752,None
333734,None
1659298,None
219858,None
464820,None
1015063,None
852723,None
1106037,None
137306,None
1429910,None
2357456,None
1968103,None
1343450,None
1697400,None
1735370,None
1807420,None
54243,None
1587071,None
2290113,None
534548,None
2291289,None
2843655,None
2272822,None
2816175,None
2653276,None
1685145,None
506462,None
1435515,None
2085032,None
2385426,None
3280706,None
2289585,None
32452,None
2875154,None
1750362,None
2161659,None
790538,None
1506410,None
2424484,None
3127835,None
458169,None
600479,None
2407907,None
1245516,None
31367,None
2981946,None
3230175,None
1413635,None
1309092,None
783630,None
3181932,None
475370,None
1289278,None
3254691,None
2454926,None
493713,None
1627701,None
3325272,None
1541133,None
719961,None
1361106,None
2236690,None
653621,None
3190798,None
1746685,None
2311087,None
2912566,None
1833548,None
801699,None
749186,None
3077303,None
2276056,None
2542149,25991 
93460,None
1632305,None
2504105,None
763772,25991 
2588801,25991 
1231288,25991 
3389536,None
1211451,25991 
835385,None
1174382,None
841812,None
2252534,None
2704540,None
1283131,None
552080,None
637415,None
1809236,None
3196595,None
3140070,None
2417551,None
2790549,None
5918,None
483433,None
1870932,None
2379740,None
3026324,None
2221513,None
3236339,None
1594293,None
2445067,None
792807,None
2229991,None
794671,None
883101,None
252278,None
2151527,None
1527271,None
1360727,None
3090226,None
3136628,None
591943,None
3307635,None
417105,None
1054459,None
949149,None
3047311,None
2321146,None
2741763,None
984483,None
258673,13429 14406 25991 38393 38992 42650 
2432825,13429 14406 25991 38393 38992 42650 
851529,None
1058615,13429 14406 25991 38393 38992 42650 
943492,None
117706,None
110118,None
1701117,13429 14406 25991 38393 38992 42650 
569426,None
619447,None
1604805,None
1728772,13429 38393 38992 42650 
2088155,13429 38393 38992 42650 
3317446,None
2769832,None
557610,38393 38992 42650 
2632043,38393 38992 42650 
3296566,None
3350329,38393 38992 42650 
647236,38393 38992 42650 
708124,None
1119876,None
2834694,None
141116,38393 38992 42650 
433778,38393 38992 42650 
1030026,None
744771,None
195176,None
378578,None
285016,None
17250,None
1674506,None
2941011,None
3224334,None
2835033,None
775063,None
1112197,None
2603011,None
834169,None
722056,None
403661,None
1344539,None
53623,None
1836186,None
472145,None
6533,None
2562687,None
1438947,None
2836824,None
572227,None
1953066,13429 14406 25991 38393 38992 42650 
2243483,None
1306294,13429 14406 25991 38393 38992 42650 
1153705,13429 14406 25991 38393 38992 42650 
1080533,13429 14406 25991 38393 38992 42650 
1503578,None
1900853,13429 14406 25991 38393 38992 42650 
1353751,None
2873191,None
3415243,13429 14406 25991 38393 38992 42650 
896460,None
3174280,13429 14406 25991 38393 38992 42650 
1069295,13429 14406 25991 38393 38992 42650 
269770,13429 25991 38393 38992 42650 
1499330,None
2616416,13429 25991 38393 38992 42650 
877870,None
1499620,None
3320486,None
1124519,None
767710,None
2937601,None
963481,13429 25991 38393 38992 42650 
2793407,13429 25991 38393 38992 42650 
1377488,None
